profile id;#friends;#following;#community;age;#postshared;#urlshared;#photos/videos;fpurls;fpphotos/videos;avgcomment/post;likes/post;tags/post;#tags/post;Label
1;39;300;907.0;200.0;1000.0;850.0;922.0;0.85;0.922;56.0;47.0;40.0;14.0;1.0
2;150;350;30.0;300.0;300.0;100.0;290.0;0.333;0.967;5.0;12.0;10.0;4.0;0.0
3;300;450;50.0;465.0;500.0;150.0;450.0;0.3;0.9;4.0;15.0;15.0;7.0;0.0
4;25;110;660.0;350.0;2050.0;2000.0;2050.0;0.976;1.0;7.0;3.0;54.0;21.0;1.0
5;24;100;150.0;800.0;950.0;1000.0;900.0;1.053;0.947;66.0;5.0;55.0;20.0;1.0
6;562;350;55.0;650.0;450.0;250.0;900.0;0.556;2.0;42.0;22.0;15.0;10.0;0.0
7;662;454;22.0;764.0;365.0;100.0;1000.0;0.274;2.74;31.0;25.0;23.0;10.0;0.0
8;50;100;700.0;350.0;2512.0;2000.0;2400.0;0.796;0.955;77.0;32.0;58.0;32.0;1.0
9;800;550;66.0;850.0;460.0;500.0;300.0;1.087;0.652;4.0;2.0;23.0;10.0;0.0
10;605;555;58.0;782.0;700.0;100.0;650.0;0.143;0.929;24.0;28.0;13.0;5.0;0.0
11;1005;380;13.0;1250.0;561.0;132.0;530.0;0.235;0.945;1.0;16.0;16.0;4.0;0.0
12;1632;560;84.0;651.0;1006.0;87.0;760.0;0.086;0.755;46.0;19.0;35.0;12.0;0.0
13;2461;643;63.0;1523.0;756.0;123.0;713.0;0.163;0.943;46.0;28.0;13.0;17.0;0.0
14;561;312;46.0;625.0;326.0;65.0;300.0;0.199;0.92;35.0;23.0;32.0;15.0;0.0
15;1143;426;86.0;956.0;558.0;56.0;500.0;0.1;0.896;24.0;21.0;15.0;19.0;0.0
16;784;466;46.0;423.0;326.0;32.0;300.0;0.098;0.92;26.0;25.0;18.0;12.0;0.0
17;146;56;13.0;125.0;76.0;23.0;65.0;0.303;0.855;35.0;13.0;19.0;19.0;0.0
18;894;465;123.0;565.0;420.0;63.0;400.0;0.15;0.952;482.0;1.0;25.0;11.0;0.0
19;463;143;32.0;421.0;186.0;50.0;168.0;0.269;0.903;38.0;14.0;23.0;16.0;0.0
20;1164;786;46.0;864.0;546.0;95.0;500.0;0.174;0.916;36.0;15.0;29.0;13.0;0.0
21;265;165;26.0;410.0;130.0;25.0;115.0;0.192;0.885;32.0;19.0;26.0;14.0;0.0
22;632;164;29.0;476.0;331.0;46.0;302.0;0.139;0.912;41.0;8.0;27.0;15.0;0.0
23;789;652;56.0;432.0;187.0;46.0;176.0;0.246;0.941;57.0;7.0;29.0;13.0;0.0
24;146;138;13.0;269.0;138.0;24.0;200.0;0.174;1.449;38.0;13.0;27.0;19.0;0.0
25;864;975;78.0;366.0;214.0;75.0;187.0;0.35;0.874;33.0;14.0;19.0;18.0;0.0
26;1112;1234;96.0;846.0;364.0;105.0;300.0;0.288;0.824;44.0;19.0;23.0;17.0;0.0
27;1147;1232;87.0;961.0;226.0;42.0;202.0;0.186;0.894;22.0;15.0;22.0;19.0;0.0
28;1135;1542;97.0;511.0;444.0;35.0;394.0;0.079;0.887;32.0;16.0;16.0;11.0;0.0
29;2311;1666;54.0;964.0;555.0;78.0;500.0;0.141;0.901;22.0;11.0;36.0;6.0;0.0
30;1231;1164;88.0;642.0;554.0;32.0;522.0;0.058;0.942;21.0;9.0;33.0;10.0;0.0
31;1133;1124;33.0;1532.0;789.0;123.0;700.0;0.156;0.887;13.0;8.0;35.0;11.0;0.0
32;2321;1532;53.0;964.0;884.0;112.0;822.0;0.127;0.93;25.0;7.0;33.0;16.0;0.0
33;2862;2645;66.0;1523.0;562.0;85.0;550.0;0.151;0.979;16.0;6.0;22.0;29.0;0.0
34;460;323;36.0;1724.0;773.0;99.0;723.0;0.128;0.935;32.0;19.0;13.0;23.0;0.0
35;1386;1245;48.0;1894.0;886.0;84.0;840.0;0.095;0.948;13.0;14.0;18.0;18.0;0.0
36;2678;1648;66.0;1947.0;1231.0;66.0;1160.0;0.054;0.942;364.0;2.0;33.0;15.0;0.0
37;2216;1894;51.0;2697.0;1226.0;49.0;956.0;0.04;0.78;268.0;21.0;35.0;14.0;0.0
38;2649;2131;25.0;2246.0;1500.0;46.0;1463.0;0.031;0.975;21.0;16.0;26.0;13.0;0.0
39;2134;2364;33.0;2164.0;1700.0;68.0;1532.0;0.04;0.901;22.0;18.0;21.0;11.0;0.0
40;1123;1150;115.0;2246.0;1460.0;56.0;1163.0;0.038;0.797;33.0;11.0;22.0;5.0;0.0
41;1009;1123;32.0;1423.0;1112.0;36.0;635.0;0.032;0.571;321.0;188.0;36.0;4.0;0.0
42;1100;1356;49.0;1200.0;800.0;24.0;750.0;0.03;0.938;213.0;14.0;24.0;9.0;0.0
43;149;153;26.0;264.0;108.0;28.0;99.0;0.259;0.917;13.0;16.0;11.0;11.0;0.0
44;1489;1009;45.0;365.0;321.0;58.0;300.0;0.181;0.935;18.0;18.0;14.0;13.0;0.0
45;1444;1564;63.0;225.0;210.0;21.0;210.0;0.1;1.0;11.0;13.0;23.0;16.0;0.0
46;1563;1142;31.0;606.0;521.0;55.0;500.0;0.106;0.96;9.0;99.0;19.0;13.0;0.0
47;2120;2130;39.0;753.0;650.0;85.0;623.0;0.131;0.958;95.0;85.0;13.0;10.0;0.0
48;3261;3225;84.0;798.0;564.0;96.0;546.0;0.17;0.968;32.0;75.0;22.0;15.0;0.0
49;1231;1364;59.0;465.0;336.0;87.0;301.0;0.259;0.896;21.0;87.0;28.0;16.0;0.0
50;889;1003;42.0;550.0;460.0;56.0;440.0;0.122;0.957;13.0;75.0;32.0;16.0;0.0
51;223;130;12.0;365.0;130.0;13.0;115.0;0.1;0.885;236.0;886.0;29.0;18.0;0.0
52;332;321;13.0;421.0;183.0;23.0;175.0;0.126;0.956;313.0;889.0;21.0;12.0;0.0
53;2135;2364;54.0;1005.0;786.0;150.0;760.0;0.191;0.967;42.0;66.0;34.0;16.0;0.0
54;3305;4510;168.0;1543.0;864.0;166.0;800.0;0.192;0.926;156.0;78.0;31.0;10.0;0.0
55;4462;5312;113.0;665.0;512.0;87.0;495.0;0.17;0.967;28.0;99.0;38.0;9.0;0.0
56;5554;4231;85.0;980.0;602.0;84.0;560.0;0.14;0.93;16.0;16.0;25.0;11.0;0.0
57;654;461;49.0;1520.0;1231.0;186.0;941.0;0.151;0.764;12.0;19.0;18.0;15.0;0.0
58;1546;1243;88.0;645.0;547.0;62.0;431.0;0.113;0.788;35.0;11.0;26.0;14.0;0.0
59;1143;987;65.0;1546.0;786.0;112.0;653.0;0.142;0.831;34.0;14.0;21.0;13.0;0.0
60;463;465;36.0;1502.0;623.0;68.0;581.0;0.109;0.933;292.0;14.0;14.0;10.0;0.0
61;561;482;32.0;1645.0;658.0;66.0;599.0;0.1;0.91;223.0;12.0;13.0;11.0;0.0
62;1325;1123;45.0;1895.0;633.0;89.0;593.0;0.141;0.937;23.0;16.0;32.0;7.0;0.0
63;254;195;24.0;956.0;764.0;105.0;690.0;0.137;0.903;33.0;15.0;42.0;17.0;0.0
64;336;226;22.0;869.0;321.0;43.0;300.0;0.134;0.935;54.0;159.0;43.0;18.0;0.0
65;4563;3261;59.0;1235.0;1200.0;86.0;900.0;0.072;0.75;55.0;18.0;46.0;19.0;0.0
66;1500;1643;45.0;1356.0;546.0;56.0;536.0;0.103;0.982;468.0;9.0;44.0;13.0;0.0
67;1623;1123;79.0;1130.0;697.0;78.0;580.0;0.112;0.832;33.0;7.0;29.0;16.0;0.0
68;1395;1234;66.0;1392.0;632.0;73.0;600.0;0.116;0.949;36.0;11.0;22.0;9.0;0.0
69;923;726;23.0;1396.0;586.0;43.0;570.0;0.073;0.973;346.0;9.0;35.0;14.0;0.0
70;1203;1132;32.0;1143.0;623.0;43.0;610.0;0.069;0.979;28.0;123.0;36.0;15.0;0.0
71;664;632;56.0;1236.0;756.0;56.0;710.0;0.074;0.939;531.0;13.0;38.0;11.0;0.0
72;536;633;51.0;1632.0;846.0;59.0;800.0;0.07;0.946;61.0;7.0;41.0;10.0;0.0
73;1300;1423;76.0;1752.0;541.0;63.0;521.0;0.116;0.963;55.0;132.0;31.0;8.0;0.0
74;751;921;56.0;1364.0;663.0;66.0;883.0;0.1;1.332;41.0;86.0;45.0;18.0;0.0
75;668;1354;39.0;1463.0;786.0;84.0;751.0;0.107;0.955;38.0;187.0;46.0;13.0;0.0
76;1330;2513;54.0;846.0;656.0;76.0;610.0;0.116;0.93;36.0;12.0;34.0;19.0;0.0
77;789;954;74.0;946.0;746.0;43.0;701.0;0.058;0.94;28.0;15.0;37.0;13.0;0.0
78;331;456;26.0;786.0;689.0;58.0;652.0;0.084;0.946;456.0;16.0;38.0;18.0;0.0
79;456;586;46.0;843.0;695.0;38.0;653.0;0.055;0.94;54.0;95.0;27.0;17.0;0.0
80;745;568;48.0;694.0;497.0;39.0;485.0;0.078;0.976;38.0;86.0;38.0;10.0;0.0
81;1234;2146;39.0;846.0;486.0;28.0;470.0;0.058;0.967;33.0;98.0;34.0;6.0;0.0
82;1843;2543;77.0;1431.0;840.0;53.0;752.0;0.063;0.895;52.0;96.0;26.0;5.0;0.0
83;1543;2438;67.0;1321.0;742.0;42.0;684.0;0.057;0.922;34.0;95.0;32.0;13.0;0.0
84;1324;2164;57.0;1124.0;646.0;39.0;587.0;0.06;0.909;45.0;85.0;29.0;9.0;0.0
85;792;594;59.0;1315.0;759.0;41.0;598.0;0.054;0.788;38.0;89.0;39.0;18.0;0.0
86;864;601;71.0;1413.0;854.0;48.0;761.0;0.056;0.891;36.0;94.0;43.0;16.0;0.0
87;954;524;69.0;1312.0;921.0;52.0;841.0;0.056;0.913;27.0;83.0;41.0;12.0;0.0
88;915;2042;74.0;1049.0;741.0;27.0;661.0;0.036;0.892;19.0;73.0;12.0;4.0;0.0
89;892;1469;54.0;1160.0;648.0;26.0;564.0;0.04;0.87;56.0;76.0;17.0;10.0;0.0
90;1132;1328;68.0;943.0;923.0;23.0;843.0;0.025;0.913;58.0;81.0;31.0;19.0;0.0
91;1245;1542;89.0;962.0;925.0;51.0;846.0;0.055;0.915;65.0;86.0;36.0;17.0;0.0
92;1169;1432;81.0;849.0;929.0;61.0;851.0;0.066;0.916;64.0;74.0;49.0;5.0;0.0
93;1236;1321;73.0;1032.0;498.0;63.0;404.0;0.127;0.811;72.0;98.0;48.0;6.0;0.0
94;1289;1214;56.0;1021.0;484.0;73.0;399.0;0.151;0.824;43.0;79.0;39.0;8.0;0.0
95;919;1239;52.0;1026.0;659.0;43.0;574.0;0.065;0.871;32.0;88.0;18.0;14.0;0.0
96;1019;693;43.0;837.0;743.0;41.0;651.0;0.055;0.876;59.0;93.0;19.0;11.0;0.0
97;1021;961;68.0;1129.0;793.0;59.0;710.0;0.074;0.895;69.0;97.0;11.0;9.0;0.0
98;971;2049;38.0;1034.0;894.0;79.0;812.0;0.088;0.908;49.0;87.0;25.0;12.0;0.0
99;977;2324;54.0;1023.0;991.0;68.0;911.0;0.069;0.919;56.0;88.0;15.0;7.0;0.0
100;1029;1694;64.0;1079.0;994.0;29.0;913.0;0.029;0.919;43.0;96.0;42.0;18.0;0.0
101;1021;1789;57.0;1129.0;998.0;72.0;924.0;0.072;0.926;26.0;97.0;33.0;17.0;0.0
102;1432;1876;75.0;1364.0;769.0;69.0;703.0;0.09;0.914;46.0;88.0;37.0;13.0;0.0
103;1176;1234;34.0;1669.0;894.0;65.0;877.0;0.073;0.981;36.0;123.0;23.0;16.0;0.0
104;1236;1546;88.0;1682.0;1124.0;77.0;1022.0;0.069;0.909;66.0;12.0;35.0;18.0;0.0
105;2364;1332;74.0;1533.0;1222.0;56.0;1200.0;0.046;0.982;33.0;18.0;41.0;19.0;0.0
106;961;1236;56.0;1462.0;1234.0;58.0;910.0;0.047;0.737;432.0;15.0;39.0;17.0;0.0
107;541;663;54.0;1100.0;953.0;65.0;923.0;0.068;0.969;34.0;16.0;34.0;18.0;0.0
108;744;841;46.0;1200.0;846.0;65.0;800.0;0.077;0.946;36.0;144.0;36.0;17.0;0.0
109;465;665;21.0;721.0;364.0;32.0;321.0;0.088;0.882;22.0;15.0;32.0;21.0;0.0
110;321;412;22.0;754.0;846.0;35.0;301.0;0.041;0.356;24.0;13.0;26.0;13.0;0.0
111;891;1156;89.0;763.0;961.0;81.0;754.0;0.084;0.785;126.0;11.0;40.0;24.0;0.0
112;794;1031;76.0;1123.0;743.0;36.0;732.0;0.048;0.985;21.0;99.0;35.0;25.0;0.0
113;864;1041;53.0;1159.0;731.0;34.0;720.0;0.047;0.985;19.0;12.0;45.0;15.0;0.0
114;1489;1051;31.0;1011.0;756.0;58.0;721.0;0.077;0.954;22.0;78.0;25.0;9.0;0.0
115;1568;1249;39.0;1016.0;742.0;59.0;734.0;0.08;0.989;33.0;86.0;66.0;8.0;0.0
116;1768;1159;58.0;981.0;954.0;51.0;916.0;0.053;0.96;56.0;84.0;86.0;3.0;0.0
117;659;781;43.0;731.0;951.0;63.0;659.0;0.066;0.693;11.0;13.0;76.0;20.0;0.0
118;459;794;47.0;736.0;1121.0;69.0;661.0;0.062;0.59;15.0;14.0;33.0;19.0;0.0
119;789;846;49.0;931.0;1021.0;71.0;900.0;0.07;0.881;25.0;121.0;15.0;14.0;0.0
120;1476;1324;29.0;1143.0;1011.0;76.0;991.0;0.075;0.98;35.0;125.0;95.0;13.0;0.0
121;1984;1569;79.0;1261.0;1009.0;81.0;996.0;0.08;0.987;55.0;114.0;85.0;23.0;0.0
122;1324;732;86.0;1140.0;1008.0;89.0;894.0;0.088;0.887;133.0;17.0;75.0;10.0;0.0
123;796;891;69.0;1104.0;1003.0;83.0;893.0;0.083;0.89;159.0;106.0;55.0;11.0;0.0
124;846;863;19.0;849.0;1113.0;49.0;812.0;0.044;0.73;65.0;73.0;65.0;17.0;0.0
125;961;983;81.0;796.0;912.0;47.0;781.0;0.052;0.856;144.0;91.0;51.0;19.0;0.0
126;919;2106;27.0;1021.0;917.0;39.0;887.0;0.043;0.967;125.0;122.0;31.0;26.0;0.0
127;1109;2119;37.0;945.0;925.0;33.0;911.0;0.036;0.985;111.0;105.0;41.0;21.0;0.0
128;1119;969;71.0;941.0;915.0;51.0;893.0;0.056;0.976;13.0;102.0;81.0;15.0;0.0
129;1786;1054;67.0;1423.0;1097.0;21.0;999.0;0.019;0.911;27.0;79.0;21.0;26.0;0.0
130;851;1061;49.0;1421.0;1091.0;53.0;976.0;0.049;0.895;331.0;97.0;43.0;21.0;0.0
131;651;1051;33.0;1148.0;926.0;83.0;914.0;0.09;0.987;221.0;99.0;33.0;11.0;0.0
132;1651;995;122.0;1230.0;893.0;47.0;887.0;0.053;0.993;177.0;88.0;93.0;21.0;0.0
133;1743;971;29.0;1103.0;1100.0;73.0;1069.0;0.066;0.972;129.0;83.0;83.0;14.0;0.0
134;1736;2007;78.0;1109.0;1009.0;28.0;979.0;0.028;0.97;35.0;77.0;76.0;16.0;0.0
135;916;2108;26.0;773.0;706.0;64.0;694.0;0.091;0.983;69.0;124.0;56.0;9.0;0.0
136;935;1147;24.0;775.0;707.0;53.0;681.0;0.075;0.963;118.0;123.0;46.0;7.0;0.0
137;653;1124;81.0;677.0;712.0;81.0;644.0;0.114;0.904;229.0;121.0;96.0;5.0;0.0
138;1523;1051;75.0;699.0;901.0;91.0;661.0;0.101;0.734;226.0;122.0;41.0;10.0;0.0
139;1464;877;61.0;688.0;906.0;21.0;644.0;0.023;0.711;356.0;102.0;21.0;23.0;0.0
140;1321;871;48.0;781.0;806.0;54.0;771.0;0.067;0.957;67.0;109.0;28.0;17.0;0.0
141;845;868;41.0;981.0;709.0;34.0;697.0;0.048;0.983;36.0;108.0;27.0;25.0;0.0
142;945;2100;39.0;991.0;708.0;89.0;688.0;0.126;0.972;49.0;107.0;57.0;14.0;0.0
143;1654;1981;25.0;1324.0;727.0;87.0;703.0;0.12;0.967;473.0;106.0;47.0;12.0;0.0
144;1459;1743;65.0;1365.0;827.0;77.0;804.0;0.093;0.972;216.0;69.0;37.0;8.0;0.0
145;1651;1624;85.0;1369.0;927.0;71.0;901.0;0.077;0.972;28.0;68.0;88.0;6.0;0.0
146;1793;1549;63.0;598.0;947.0;86.0;597.0;0.091;0.63;19.0;85.0;77.0;13.0;0.0
147;1543;659;43.0;1125.0;847.0;66.0;813.0;0.078;0.96;93.0;84.0;99.0;19.0;0.0
148;873;658;53.0;1743.0;893.0;65.0;866.0;0.073;0.97;113.0;81.0;66.0;27.0;0.0
149;977;988;67.0;477.0;793.0;61.0;773.0;0.077;0.975;243.0;93.0;33.0;18.0;0.0
150;1652;954;84.0;597.0;904.0;59.0;876.0;0.065;0.969;381.0;98.0;44.0;29.0;0.0
151;1102;931;91.0;771.0;1021.0;31.0;884.0;0.03;0.866;245.0;102.0;96.0;24.0;0.0
152;1021;859;93.0;1145.0;1156.0;41.0;991.0;0.035;0.857;263.0;112.0;81.0;11.0;0.0
153;1066;836;81.0;1513.0;1211.0;49.0;1109.0;0.04;0.916;289.0;116.0;38.0;7.0;0.0
154;1054;1136;37.0;1718.0;1693.0;51.0;1114.0;0.03;0.658;381.0;94.0;49.0;15.0;0.0
155;498;1129;29.0;919.0;781.0;55.0;751.0;0.07;0.962;116.0;91.0;55.0;28.0;0.0
156;1369;1294;28.0;961.0;749.0;45.0;743.0;0.06;0.992;12.0;89.0;58.0;10.0;0.0
157;1321;1398;36.0;932.0;658.0;65.0;619.0;0.099;0.941;31.0;88.0;64.0;8.0;0.0
158;1391;1367;48.0;1164.0;1029.0;85.0;998.0;0.083;0.97;43.0;78.0;59.0;23.0;0.0
159;1296;2006;47.0;1321.0;1151.0;95.0;1014.0;0.083;0.881;45.0;96.0;69.0;20.0;0.0
160;599;2096;59.0;2221.0;2149.0;33.0;2001.0;0.015;0.931;91.0;106.0;94.0;25.0;0.0
161;922;771;91.0;944.0;657.0;23.0;614.0;0.035;0.935;81.0;111.0;91.0;14.0;0.0
162;843;779;92.0;1315.0;891.0;83.0;818.0;0.093;0.918;114.0;123.0;81.0;13.0;0.0
163;831;993;98.0;1914.0;843.0;73.0;831.0;0.087;0.986;159.0;114.0;71.0;17.0;0.0
164;1651;1036;96.0;1615.0;869.0;48.0;821.0;0.055;0.945;179.0;119.0;79.0;19.0;0.0
165;1633;1059;65.0;1123.0;821.0;58.0;817.0;0.071;0.995;184.0;118.0;64.0;9.0;0.0
166;1421;1064;64.0;1159.0;1169.0;88.0;1041.0;0.075;0.891;412.0;128.0;63.0;7.0;0.0
167;1141;1158;66.0;1415.0;1143.0;78.0;1031.0;0.068;0.902;422.0;125.0;61.0;6.0;0.0
168;1001;1269;63.0;1567.0;1329.0;79.0;1121.0;0.059;0.843;361.0;77.0;54.0;12.0;0.0
169;919;1238;33.0;1691.0;1381.0;97.0;1317.0;0.07;0.954;315.0;104.0;45.0;26.0;0.0
170;741;789;25.0;1914.0;1354.0;94.0;1329.0;0.069;0.982;312.0;108.0;46.0;27.0;0.0
171;633;981;22.0;1744.0;1362.0;46.0;1211.0;0.034;0.889;15.0;107.0;39.0;21.0;0.0
172;688;856;37.0;944.0;712.0;36.0;693.0;0.051;0.973;65.0;105.0;31.0;24.0;0.0
173;676;1317;47.0;913.0;816.0;33.0;801.0;0.04;0.982;39.0;115.0;33.0;29.0;0.0
174;1196;1357;87.0;927.0;914.0;25.0;903.0;0.027;0.988;58.0;123.0;51.0;11.0;0.0
175;1174;1452;81.0;1017.0;913.0;45.0;881.0;0.049;0.965;67.0;124.0;56.0;16.0;0.0
176;1431;1444;61.0;1419.0;1412.0;35.0;1311.0;0.025;0.928;191.0;11.0;74.0;13.0;0.0
177;1425;1324;41.0;1916.0;1467.0;54.0;1314.0;0.037;0.896;291.0;101.0;71.0;14.0;0.0
178;1658;994;51.0;1813.0;1436.0;34.0;1401.0;0.024;0.976;351.0;87.0;91.0;28.0;0.0
179;1135;944;31.0;2109.0;1581.0;24.0;1481.0;0.015;0.937;349.0;88.0;88.0;12.0;0.0
180;1026;844;77.0;1931.0;1612.0;64.0;1512.0;0.04;0.938;359.0;99.0;84.0;9.0;0.0
181;1329;744;99.0;1943.0;1712.0;71.0;1683.0;0.041;0.983;334.0;92.0;66.0;8.0;0.0
182;591;1145;93.0;443.0;399.0;61.0;382.0;0.153;0.957;411.0;98.0;51.0;11.0;0.0
183;991;1187;71.0;544.0;535.0;51.0;524.0;0.095;0.979;141.0;87.0;23.0;21.0;0.0
184;848;1582;67.0;599.0;544.0;31.0;533.0;0.057;0.98;155.0;99.0;33.0;23.0;0.0
185;783;1161;57.0;671.0;455.0;49.0;423.0;0.108;0.93;15.0;102.0;49.0;24.0;0.0
186;1311;1254;86.0;478.0;498.0;47.0;446.0;0.094;0.896;166.0;106.0;81.0;29.0;0.0
